,StateName,Population,Abbrev,state
0,Alabama,4903185,Ala.,AL
1,Alaska,731545,Alaska,AK
2,Arizona,7278717,Ariz.,AZ
3,Arkansas,3017804,Ark.,AR
4,California,39512223,Calif.,CA
5,Colorado,5758736,Colo.,CO
6,Connecticut,3565287,Conn.,CT
7,Delaware,973764,Del.,DE
8,District of Columbia,705749,D.C.,DC
9,Florida,21477737,Fla.,FL
10,Georgia,10617423,Ga.,GA
11,Hawaii,1415872,Hawaii,HI
12,Idaho,1787065,Idaho,ID
13,Illinois,12671821,Ill.,IL
14,Indiana,6732219,Ind.,IN
15,Iowa,3155070,Iowa,IA
16,Kansas,2913314,Kans.,KS
17,Kentucky,4467673,Ky.,KY
18,Louisiana,4648794,La.,LA
19,Maine,1344212,Maine,ME
20,Maryland,6045680,Md.,MD
21,Massachusetts,6892503,Mass.,MA
22,Michigan,9986857,Mich.,MI
23,Minnesota,5639632,Minn.,MN
24,Mississippi,2976149,Miss.,MS
25,Missouri,6137428,Mo.,MO
26,Montana,1068778,Mont.,MT
27,Nebraska,1934408,Nebr.,NE
28,Nevada,3080156,Nev.,NV
29,New Hampshire,1359711,N.H.,NH
30,New Jersey,8882190,N.J.,NJ
31,New Mexico,2096829,N.M.,NM
32,New York,19453561,N.Y.,NY
33,North Carolina,10488084,N.C.,NC
34,North Dakota,762062,N.D.,ND
35,Ohio,11689100,Ohio,OH
36,Oklahoma,3956971,Okla.,OK
37,Oregon,4217737,Ore.,OR
38,Pennsylvania,12801989,Pa.,PA
39,Rhode Island,1059361,R.I.,RI
40,South Carolina,5148714,S.C.,SC
41,South Dakota,884659,S.D.,SD
42,Tennessee,6829174,Tenn.,TN
43,Texas,28995881,Tex.,TX
44,Utah,3205958,Utah,UT
45,Vermont,623989,Vt.,VT
46,Virginia,8535519,Va.,VA
47,Washington,7614893,Wash.,WA
48,West Virginia,1792147,W.Va.,WV
49,Wisconsin,5822434,Wis.,WI
50,Wyoming,578759,Wyo.,WY
